"","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable","fully_booked_30","host_since_months_int"
"106","within an hour",100,100,"TRUE",4,"phone_email",-33.90014,18.40782,"Entire home/apt",6,3,3,3,7200,1,365,1.9,731,16,0.5,4.94,"TRUE","yes",102
"107","within an hour",100,97,"TRUE",11,"phone_email",-33.887,18.56396,"Private room",2,1.5,1,1,850,1,1125,1,731,82,1.41,4.63,"FALSE","no",110
"108","within an hour",100,100,"TRUE",1,"phone_email",-33.94576,18.41072,"Entire home/apt",4,1,1,3,1550,2,31,2,1125,130,1.27,4.98,"FALSE","yes",113
"109","within an hour",100,100,"TRUE",3,"phone_email",-34.13698,18.41475,"Entire home/apt",3,0,1,2,675,2,1125,2.1,1125,6,0.05,4.67,"FALSE","no",144
"110","within an hour",100,94,"TRUE",1,"phone_email",-33.89071843,18.51079244,"Entire home/apt",2,1,1,1,768,2,365,2,365,10,1.23,4.8,"TRUE","no",16
"111","within a few hours",80,82,"FALSE",1,"phone_email",-33.908712,18.3976058,"Entire home/apt",3,2,2,2,2910,3,30,3,30,27,0.88,4.89,"FALSE","no",103
"112","within a day",100,100,"TRUE",2,"phone_email",-34.04467,18.43851,"Entire home/apt",10,5.5,5,6,13500,10,30,10,30,13,0.11,5,"FALSE","yes",132
"113","within an hour",100,96,"FALSE",14,"phone_email",-33.90988,18.41969,"Entire home/apt",4,2,2,2,4679,2,365,2.2,365,2,1.46,5,"FALSE","no",116
"114","within an hour",100,84,"TRUE",1,"phone_email",-33.91402373,18.41514118,"Entire home/apt",6,3,3,4,1402,2,1125,2.1,1125,28,2.86,4.86,"FALSE","yes",127
"115","within an hour",100,98,"TRUE",17,"phone_email",-34.14251,18.43193,"Entire home/apt",8,3.5,4,5,5845,7,31,4.7,554.5,43,1.57,4.93,"FALSE","no",152
"116","within an hour",100,98,"TRUE",43,"phone_email",-33.9099465,18.3965267,"Entire home/apt",2,1,1,1,1398,2,365,3.5,365,44,1.81,4.95,"FALSE","no",154
"117","within an hour",100,99,"TRUE",8,"phone_only",-34.0621068,18.8323579,"Entire home/apt",2,1,1,1,1077,2,365,1.4,1125,22,0.88,4.82,"TRUE","no",89
"118","within a day",71,56,"TRUE",3,"phone_email",-34.19865,18.37426,"Entire home/apt",2,1,1,1,1350,2,1125,2,1125,34,0.5,4.94,"FALSE","no",129
"119","within an hour",100,91,"TRUE",4,"phone_email",-34.02057,18.37543,"Entire home/apt",10,3.5,5,6,7679,3,1125,3,1125,3,0.1,4.67,"FALSE","no",59
"120","within a few hours",100,100,"FALSE",1,"phone_email",-34.04207,18.75147,"Entire home/apt",2,1,1,1,741,1,365,1,365,2,2,5,"FALSE","no",129
"121","within an hour",100,100,"FALSE",85,"phone_email",-33.92218,18.42151,"Entire home/apt",4,1,2,3,2560,1,1125,3.2,1125,6,0.05,3.83,"TRUE","yes",167
"122","within an hour",100,96,"TRUE",1,"phone_only",-33.98829,18.4495,"Entire home/apt",2,1,1,1,1208,2,365,2.8,365,16,1.87,5,"FALSE","no",16
"123","within an hour",100,99,"TRUE",25,"phone_email",-33.91922,18.42603,"Entire home/apt",2,1,0,1,1035,2,1125,2,1125,30,0.31,4.7,"FALSE","no",130
"124","within an hour",100,98,"TRUE",1,"phone_email",-33.80186462,18.47649956,"Entire home/apt",2,1,1,1,423,2,60,2,1125,143,3.21,4.92,"FALSE","no",107
"125","within an hour",100,100,"TRUE",4,"phone_email",-33.82538,18.48432,"Entire home/apt",8,4.5,4,4,4467,4,1125,4,1125,74,0.76,4.8,"TRUE","no",113
"126","within an hour",100,90,"FALSE",176,"phone_only",-33.91572189,18.41647148,"Entire home/apt",6,3,3,3,4048,4,1125,3.4,1125,95,1.04,4.93,"FALSE","no",123
"127","within an hour",100,97,"FALSE",12,"phone_email",-34.1361557,18.3897043,"Entire home/apt",6,3,3,3,3758,1,365,3.5,731,2,0.22,5,"FALSE","no",132
"128","within an hour",100,44,"FALSE",1,"phone_email",-33.9210881,18.4138247,"Entire home/apt",4,2,2,2,1530,1,50,1,50,3,0.9,5,"FALSE","no",107
"129","within an hour",100,97,"TRUE",29,"phone_email",-33.93249,18.46177,"Entire home/apt",2,1,1,1,936,2,730,2,1125,86,0.91,4.67,"FALSE","no",152
"130","within an hour",100,93,"FALSE",8,"phone_only",-33.90410449,18.70432661,"Entire home/apt",3,1,0,2,800,2,365,2.1,731,2,0.27,5,"TRUE","no",110
"131","within an hour",100,100,"FALSE",1,"phone_email",-33.96698748,18.37889539,"Entire home/apt",10,1.5,5,5,14602,1,365,1.8,731,2,0.42,5,"TRUE","no",20
"132","within an hour",100,90,"FALSE",38,"phone_email",-33.94028,18.37639,"Entire home/apt",8,4,4,4,22000,2,1125,2,1125,3,0.05,5,"FALSE","no",72
"133","within an hour",98,99,"FALSE",292,"phone_email",-33.81365,18.47179,"Entire home/apt",4,2,2,2,3819,1,365,1,1125,2,0.06,5,"TRUE","no",116
"134","within an hour",67,79,"FALSE",3,"phone_email",-33.92436,18.42029,"Entire home/apt",4,2,2,2,3852,3,60,3,60,8,0.34,4.63,"FALSE","no",47
"135","within a day",100,83,"TRUE",1,"phone_email",-33.91173798,18.39888465,"Entire home/apt",4,1,2,0,5458,4,365,4,365,3,0.14,5,"FALSE","yes",178
"136","within an hour",100,94,"TRUE",6,"phone_email",-33.91141,18.40912,"Entire home/apt",4,1,1,4,2653,5,365,5,365,58,1.7,4.93,"FALSE","yes",91
"137","within a day",100,55,"FALSE",1,"phone_email",-34.01206,18.33814,"Entire home/apt",8,4,4,4,11184,3,30,3,30,7,0.35,4.86,"FALSE","no",36
"138","within an hour",100,93,"TRUE",6,"phone_email",-33.9326828,18.40656616,"Entire home/apt",4,2.5,2,0,4000,1,1125,4.6,1011.7,4,0.37,5,"TRUE","no",132
"139","within an hour",100,100,"FALSE",2,"phone_email",-34.1574497,18.88336468,"Entire home/apt",2,1,1,1,1395,3,62,3,62,4,0.19,4.5,"FALSE","no",38
"140","within an hour",100,100,"FALSE",1,"phone_email",-33.9238605,18.4157589,"Entire home/apt",2,1,0,1,1020,2,365,2.3,1125,18,1.11,4.39,"TRUE","no",24
"141","within an hour",100,93,"TRUE",1,"phone_email",-33.908717,18.4033974,"Entire home/apt",4,1,2,3,1723,3,1125,3,1125,21,1.54,5,"FALSE","no",116
"142","within an hour",100,83,"FALSE",1,"phone_email",-33.81896,18.47453,"Entire home/apt",4,2,2,2,1595,3,1125,3,1125,77,3.04,4.78,"FALSE","no",129
"143","within an hour",100,100,"FALSE",7,"phone_email",-33.97772993,18.50170109,"Private room",2,1,1,1,772,1,1125,1,1125,7,0.53,4.71,"FALSE","no",34
"144","within an hour",100,100,"TRUE",1,"phone_email",-34.03110886,18.35106087,"Entire home/apt",2,1,1,1,705,2,90,2,1125,174,2.15,4.84,"TRUE","no",89
"145","within an hour",100,77,"FALSE",10,"phone_email",-33.93238691,18.44148394,"Private room",2,0.5,1,1,396,2,365,2,365,1,0.18,4,"FALSE","no",89
"146","within an hour",99,100,"TRUE",25,"phone_email",-33.9222,18.42301,"Entire home/apt",4,2.5,2,2,2003,1,35,1,35,44,2.61,4.75,"TRUE","no",151
"147","within a few hours",100,100,"TRUE",2,"phone_email",-34.1466,18.43658,"Entire home/apt",4,2,2,2,1930,3,90,3,90,10,0.08,4.9,"FALSE","no",150
"148","within an hour",100,100,"TRUE",1,"phone_only",-33.9412479,18.5046468,"Entire home/apt",4,1,2,3,1800,3,365,3,365,23,1.04,5,"FALSE","no",65
"149","within a day",100,100,"FALSE",1,"phone_email",-33.9314026,18.4498503,"Private room",1,1,1,1,680,3,90,3,90,1,0.16,5,"FALSE","no",52
"150","within a day",70,84,"FALSE",9,"phone_only",-33.93574,18.44299,"Private room",2,1,0,8,763,1,1125,1,1125,37,0.3,4.95,"FALSE","no",132
"151","within an hour",100,86,"FALSE",16,"phone_email",-33.92202,18.420753,"Entire home/apt",2,1,1,1,1739,2,1080,2.2,1125,5,2.38,4.8,"FALSE","no",13
"152","within an hour",100,92,"FALSE",2,"phone_email",-33.98794,18.45076,"Entire home/apt",2,1,1,1,908,2,365,2,365,10,1.28,5,"FALSE","no",124
